label_type,model,estimator,segment,precision,recall,f1,roc_auc,precision_tol,recall_tol,f1_tol,tn,fp,fn,tp,n_obs
spike_top10,A_base_macro,lightgbm,vix_regime:high_vix,0.5236111111111111,0.7858823529411765,0.6165856404848901,0.530113577364338,0.5271825396825397,0.7905882352941177,0.620646554190474,4,170,70,320,564
spike_top10,A_base_macro,lightgbm,vix_regime:low_vix,0.0,0.0,0.0,0.4832589285714286,0.0,0.0,0.0,32,0,28,0,60
spike_top10,A_base_macro,logistic,overall,0.7242206206491921,0.7198234133016742,0.6550897874839279,0.4789771267323248,0.7352346066631781,0.731644925123186,0.666381276146432,56,150,131,293,630
spike_top10,A_base_macro,logistic,regime:unclassified,0.7242206206491921,0.7198234133016742,0.6550897874839279,0.4789771267323248,0.7352346066631781,0.731644925123186,0.666381276146432,56,150,131,293,630
spike_top10,A_base_macro,logistic,vix_regime:high_vix,0.7228464134610314,0.7504154954522602,0.684818194803701,0.4887512314410979,0.7340718159655036,0.7628575631884456,0.6965278611263704,24,150,99,291,564
spike_top10,A_base_macro,logistic,vix_regime:low_vix,0.0,0.0,0.0,0.4207589285714286,0.0,0.0,0.0,32,0,28,0,60
spike_top10,A_base_macro,random_forest,overall,0.536075036075036,0.7670329670329671,0.6161795491143318,0.5892201050945839,0.5380952380952382,0.7692307692307693,0.6182848122722265,46,160,107,317,630
spike_top10,A_base_macro,random_forest,regime:unclassified,0.536075036075036,0.7670329670329671,0.6161795491143318,0.5892201050945839,0.5380952380952382,0.7692307692307693,0.6182848122722265,46,160,107,317,630
spike_top10,A_base_macro,random_forest,vix_regime:high_vix,0.5346230158730159,0.7717647058823529,0.6175055159651605,0.6623349020166971,0.5367063492063492,0.7741176470588236,0.6197154607165417,14,160,76,314,564
spike_top10,A_base_macro,random_forest,vix_regime:low_vix,0.0,0.0,0.0,0.20982142857142858,0.0,0.0,0.0,32,0,28,0,60
spike_top10,B_base_macro_sentiment,lightgbm,overall,0.5257439870863599,0.7833649109511178,0.6173621823643394,0.5263539843851788,0.5257439870863599,0.7833649109511178,0.6173621823643394,36,170,99,325,630
spike_top10,B_base_macro_sentiment,lightgbm,regime:unclassified,0.5257439870863599,0.7833649109511178,0.6173621823643394,0.5263539843851788,0.5257439870863599,0.7833649109511178,0.6173621823643394,36,170,99,325,630
spike_top10,B_base_macro_sentiment,lightgbm,vix_regime:high_vix,0.5247796387520526,0.7918458417849898,0.6198568858802527,0.5714473179560654,0.5247796387520526,0.7918458417849898,0.6198568858802527,4,170,67,323,564
spike_top10,B_base_macro_sentiment,lightgbm,vix_regime:low_vix,0.0,0.0,0.0,0.5558035714285715,0.0,0.0,0.0,32,0,28,0,60
spike_top10,B_base_macro_sentiment,logistic,overall,0.7194949686328996,0.7244101309318701,0.6427011378251801,0.45859252029164976,0.7283145972801146,0.7340338405555797,0.6517956520353585,53,153,125,299,630
spike_top10,B_base_macro_sentiment,logistic,regime:unclassified,0.7194949686328996,0.7244101309318701,0.6427011378251801,0.45859252029164976,0.7283145972801146,0.7340338405555797,0.6517956520353585,53,153,125,299,630
spike_top10,B_base_macro_sentiment,logistic,vix_regime:high_vix,0.7162821172272772,0.7358170791626674,0.6564176365604053,0.4531388386517697,0.7254341098130047,0.7459062057223822,0.6659134348797331,21,153,97,293,564
spike_top10,B_base_macro_sentiment,logistic,vix_regime:low_vix,1.0,0.07142857142857142,0.13333333333333333,0.5011160714285715,1.0,0.07142857142857142,0.13333333333333333,32,0,26,2,60
spike_top10,B_base_macro_sentiment,random_forest,overall,0.5339959932192941,0.7714285714285715,0.617004291382373,0.6077027416890679,0.5339959932192941,0.7714285714285715,0.617004291382373,44,162,105,319,630
spike_top10,B_base_macro_sentiment,random_forest,regime:unclassified,0.5339959932192941,0.7714285714285715,0.617004291382373,0.6077027416890679,0.5339959932192941,0.7714285714285715,0.617004291382373,44,162,105,319,630
spike_top10,B_base_macro_sentiment,random_forest,vix_regime:high_vix,0.5325396825396825,0.7764705882352941,0.618341711276494,0.6388244895520927,0.5325396825396825,0.7764705882352941,0.618341711276494,12,162,74,316,564
spike_top10,B_base_macro_sentiment,random_forest,vix_regime:low_vix,0.0,0.0,0.0,0.5189732142857143,0.0,0.0,0.0,32,0,28,0,60
spike_top10,C_full,lightgbm,overall,0.5257439870863599,0.7833649109511178,0.6173621823643394,0.5263539843851788,0.5257439870863599,0.7833649109511178,0.6173621823643394,36,170,99,325,630
spike_top10,C_full,lightgbm,regime:unclassified,0.5257439870863599,0.7833649109511178,0.6173621823643394,0.5263539843851788,0.5257439870863599,0.7833649109511178,0.6173621823643394,36,170,99,325,630
spike_top10,C_full,lightgbm,vix_regime:high_vix,0.5247796387520526,0.7918458417849898,0.6198568858802527,0.5714473179560654,0.5247796387520526,0.7918458417849898,0.6198568858802527,4,170,67,323,564
spike_top10,C_full,lightgbm,vix_regime:low_vix,0.0,0.0,0.0,0.5558035714285715,0.0,0.0,0.0,32,0,28,0,60
